player_id,活跃天数,平均每日时长(min),完成任务数,PVP次数,等级
1,21,56,198,2,34
2,42,75,104,33,16
3,5,126,199,21,33
4,52,64,76,42,32
5,11,92,171,21,40
6,60,127,50,31,10
7,5,151,40,46,1
8,16,44,176,25,35
9,12,66,39,17,32
10,37,166,142,13,27
11,34,48,62,30,16
12,22,57,127,45,21
13,15,46,152,16,36
14,32,113,173,13,9
15,33,121,60,8,44
16,35,87,172,38,32
17,4,178,144,34,16
18,16,157,115,12,16
19,56,55,62,4,32
20,10,68,17,0,47
21,45,69,90,31,27
22,43,133,93,8,30
23,33,57,143,13,41
24,12,127,122,34,3
25,59,43,31,14,32
26,15,167,76,17,41
27,31,171,119,29,25
28,35,135,77,17,22
29,48,96,143,12,27
30,23,26,158,41,42
31,32,95,30,33,43
32,48,82,190,28,32
33,25,92,18,0,13
34,5,158,83,21,43
35,53,58,129,7,15
36,58,52,38,43,43
37,53,160,132,27,11
38,41,71,116,8,32
39,14,121,39,7,27
40,31,139,86,43,43
41,48,71,120,42,15
42,14,28,2,30,19
43,42,79,45,24,42
44,14,96,176,12,49
45,6,104,157,5,10
46,59,111,95,24,24
47,25,177,134,30,42
48,44,41,7,10,14
49,28,120,31,1,23
50,49,11,41,47,40
51,17,166,122,22,48
52,60,105,91,0,14
53,4,38,64,46,41
54,28,64,10,10,39
55,7,142,145,9,21
56,42,102,135,41,38
57,57,11,83,14,45
58,6,133,47,41,9
59,42,51,38,41,44
60,56,136,69,36,14
61,37,158,192,26,10
62,58,21,106,9,36
63,43,35,142,14,18
64,49,157,187,43,7
65,29,142,27,19,45
66,28,50,83,12,42
67,19,21,23,10,8
68,14,73,192,24,2
69,46,60,146,49,38
70,13,106,164,42,26
71,29,167,18,6,19
72,35,36,193,17,13
73,41,130,162,28,32
74,2,103,174,18,14
75,2,55,86,24,25
76,26,34,60,4,32
77,1,120,178,43,10
78,28,75,184,43,37
79,37,115,171,16,41
80,34,84,195,43,35
81,46,138,199,7,35
82,24,159,42,37,20
83,49,74,5,30,39
84,60,53,138,29,2
85,48,19,148,33,19
86,29,41,78,0,49
87,28,86,117,12,43
88,34,15,145,31,13
89,60,107,165,31,38
90,54,146,194,28,45
91,33,93,10,47,14
92,38,18,93,44,3
93,34,40,173,18,41
94,5,93,58,45,25
95,30,47,35,11,41
96,22,132,69,15,39
97,3,48,58,49,36
98,29,47,164,24,6
99,31,49,95,33,12
100,30,136,185,1,22
101,29,171,113,0,19
102,31,112,91,30,44
103,24,108,5,27,28
104,53,45,103,15,33
105,41,159,188,2,24
106,23,30,12,6,1
107,48,155,76,27,12
108,38,151,92,30,15
109,58,37,199,36,23
110,53,27,78,35,6
111,49,165,31,49,24
112,49,171,162,34,13
113,34,88,6,40,19
114,24,29,107,42,32
115,25,46,8,17,48
116,2,173,167,18,2
117,6,80,157,23,21
118,41,94,74,39,7
119,58,155,128,35,32
120,32,73,21,37,10
121,44,112,135,11,9
122,13,111,136,16,46
123,16,39,164,30,34
