player_id,注册日期,渠道,设备类型,国家/地区
1,2023-04-13,FB广告,Android,巴西
2,2024-03-11,应用商店推荐,iOS,中国
3,2023-09-28,应用商店推荐,Android,美国
4,2023-04-17,跨推广,Android,加拿大
5,2023-03-13,Google广告,Android,韩国
6,2024-12-01,跨推广,iOS,加拿大
7,2023-01-21,FB广告,Android,巴西
8,2024-09-06,跨推广,Android,中国
9,2023-05-02,Google广告,Android,英国
10,2024-04-11,应用商店推荐,Android,中国
11,2023-08-03,应用商店推荐,iOS,加拿大
12,2023-11-27,FB广告,Android,德国
13,2024-04-03,自然流量,iOS,美国
14,2023-03-29,跨推广,Android,韩国
15,2024-01-08,FB广告,Android,日本
16,2023-04-10,应用商店推荐,Android,韩国
17,2024-10-25,Google广告,Android,巴西
18,2023-05-11,Google广告,Android,巴西
19,2024-10-23,自然流量,Android,美国
20,2023-11-05,自然流量,Android,韩国
21,2023-12-10,应用商店推荐,Android,英国
22,2024-05-06,自然流量,iOS,中国
23,2024-02-18,自然流量,Android,英国
24,2024-01-21,Google广告,iOS,韩国
25,2023-07-11,跨推广,iOS,美国
26,2023-10-04,Google广告,Android,韩国
27,2023-06-10,Google广告,iOS,美国
28,2024-04-04,应用商店推荐,Android,巴西
29,2023-11-10,应用商店推荐,iOS,中国
30,2023-01-22,跨推广,iOS,德国
31,2023-09-10,FB广告,iOS,韩国
32,2024-07-14,自然流量,Android,加拿大
33,2024-04-19,自然流量,Android,加拿大
34,2023-02-28,Google广告,iOS,英国
35,2024-05-25,Google广告,iOS,中国
36,2024-11-12,跨推广,Android,德国
37,2024-04-20,自然流量,iOS,中国
38,2024-11-30,Google广告,Android,德国
39,2023-07-09,Google广告,Android,德国
40,2024-11-17,应用商店推荐,Android,加拿大
41,2024-07-16,FB广告,iOS,日本
42,2024-07-20,跨推广,iOS,加拿大
43,2023-09-01,FB广告,iOS,德国
44,2024-05-19,FB广告,iOS,英国
45,2023-05-11,跨推广,Android,加拿大
46,2024-04-29,自然流量,iOS,巴西
47,2024-10-08,Google广告,Android,德国
48,2023-01-21,跨推广,Android,英国
49,2023-06-16,Google广告,Android,巴西
50,2023-10-01,应用商店推荐,Android,巴西
51,2024-01-23,FB广告,iOS,巴西
52,2024-08-23,应用商店推荐,Android,中国
53,2023-11-12,FB广告,Android,美国
54,2023-01-14,自然流量,iOS,加拿大
55,2023-08-30,跨推广,Android,德国
56,2023-12-12,自然流量,iOS,德国
57,2024-07-18,FB广告,Android,美国
58,2023-12-06,应用商店推荐,iOS,德国
59,2023-04-02,FB广告,iOS,韩国
60,2024-01-02,自然流量,Android,加拿大
61,2024-03-30,自然流量,iOS,加拿大
62,2024-03-03,应用商店推荐,Android,韩国
63,2024-05-23,应用商店推荐,Android,加拿大
64,2023-02-04,自然流量,iOS,中国
65,2023-07-25,FB广告,iOS,英国
66,2023-03-22,FB广告,iOS,日本
67,2024-07-15,跨推广,iOS,加拿大
68,2024-01-23,自然流量,iOS,巴西
69,2023-01-02,跨推广,Android,韩国
70,2024-01-25,自然流量,Android,韩国
71,2024-07-19,跨推广,iOS,加拿大
72,2023-04-16,Google广告,iOS,巴西
73,2024-04-21,FB广告,Android,德国
74,2024-12-03,FB广告,Android,德国
75,2024-02-06,Google广告,iOS,加拿大
76,2024-12-30,应用商店推荐,Android,韩国
77,2024-07-09,Google广告,iOS,韩国
78,2023-06-11,FB广告,iOS,英国
79,2023-07-21,自然流量,Android,德国
80,2023-09-27,跨推广,Android,加拿大
81,2023-09-28,FB广告,Android,加拿大
82,2024-03-31,Google广告,iOS,加拿大
83,2024-04-06,自然流量,Android,美国
84,2024-12-27,FB广告,iOS,韩国
85,2023-09-09,Google广告,Android,日本
86,2024-12-02,FB广告,iOS,美国
87,2023-10-23,Google广告,iOS,日本
88,2024-12-25,Google广告,iOS,日本
89,2024-12-20,FB广告,Android,中国
90,2023-12-04,自然流量,Android,德国
91,2023-02-22,FB广告,iOS,加拿大
92,2023-08-05,FB广告,Android,日本
93,2023-07-07,自然流量,Android,巴西
94,2024-01-15,FB广告,iOS,韩国
95,2024-05-07,跨推广,Android,韩国
96,2023-02-10,跨推广,Android,美国
97,2023-06-06,跨推广,iOS,韩国
98,2023-01-15,Google广告,Android,韩国
99,2023-03-06,应用商店推荐,iOS,英国
100,2024-06-04,FB广告,Android,中国
101,2023-12-10,应用商店推荐,Android,日本
102,2023-05-09,跨推广,Android,德国
103,2024-10-09,自然流量,Android,美国
104,2024-04-16,跨推广,iOS,中国
