player_id,首次付费日期,累计付费金额,付费次数,最近一次付费,购买道具类型
1,2023-05-01,35.78,2,2023-06-03,月卡
2,2024-03-25,528.12,2,2024-05-06,钻石包
3,2023-10-18,683.49,4,2023-11-25,皮肤礼包
4,,0.0,0,,
5,2023-04-10,1449.27,7,2023-04-28,钻石包
6,,0.0,0,,
7,2023-02-16,166.2,1,2023-03-31,钻石包
8,,0.0,0,,
9,2023-05-09,677.01,3,2023-05-11,武器礼包
10,2024-04-22,158.18,3,2024-05-14,月卡
11,,0.0,0,,
12,2023-12-19,435.38,2,2024-01-30,体力包
13,,0.0,0,,
14,2023-04-12,695.48,5,2023-05-17,武器礼包
15,2024-01-31,784.59,3,2024-02-07,钻石包
16,2023-04-13,1068.54,5,2023-04-18,钻石包
17,,0.0,0,,
18,2023-06-08,443.35,5,2023-06-19,武器礼包
19,2024-11-20,116.19,1,2024-11-22,皮肤礼包
20,,0.0,0,,
21,,0.0,0,,
22,2024-05-20,219.71,2,2024-07-14,钻石包
23,2024-02-18,531.58,5,2024-03-03,钻石包
24,2024-02-19,702.2,7,2024-02-23,武器礼包
25,,0.0,0,,
26,,0.0,0,,
27,,0.0,0,,
28,,0.0,0,,
29,,0.0,0,,
30,,0.0,0,,
31,2023-09-25,11.76,2,2023-10-20,月卡
32,2024-07-18,520.74,2,2024-08-17,武器礼包
33,2024-04-26,479.04,3,2024-06-03,皮肤礼包
34,,0.0,0,,
35,,0.0,0,,
36,,0.0,0,,
37,,0.0,0,,
38,,0.0,0,,
39,,0.0,0,,
40,2024-11-18,1407.52,7,2024-11-28,皮肤礼包
41,,0.0,0,,
42,2024-08-18,1999.78,8,2024-09-25,钻石包
43,2023-09-03,175.67,4,2023-09-30,武器礼包
44,,0.0,0,,
45,2023-06-05,45.27,1,2023-07-29,月卡
46,,0.0,0,,
47,,0.0,0,,
48,,0.0,0,,
49,,0.0,0,,
50,2023-10-28,1024.08,4,2023-10-28,月卡
51,,0.0,0,,
52,,0.0,0,,
53,,0.0,0,,
54,,0.0,0,,
55,,0.0,0,,
56,,0.0,0,,
57,,0.0,0,,
58,,0.0,0,,
59,2023-04-20,939.21,5,2023-06-04,皮肤礼包
60,,0.0,0,,
61,2024-04-09,462.79,5,2024-04-20,体力包
62,2024-03-08,1655.99,8,2024-04-16,月卡
63,2024-06-11,1833.9,7,2024-08-05,月卡
64,2023-02-11,174.02,8,2023-02-21,皮肤礼包
65,,0.0,0,,
66,,0.0,0,,
67,,0.0,0,,
68,2024-02-02,241.47,1,2024-03-06,钻石包
69,,0.0,0,,
70,,0.0,0,,
71,,0.0,0,,
72,,0.0,0,,
73,2024-05-19,533.65,3,2024-05-19,月卡
74,,0.0,0,,
75,,0.0,0,,
76,2025-01-15,820.96,6,2025-01-27,武器礼包
77,2024-08-04,834.17,3,2024-09-04,月卡
78,,0.0,0,,
79,2023-08-11,140.05,2,2023-10-01,月卡
80,,0.0,0,,
81,2023-10-17,212.16,3,2023-11-22,皮肤礼包
82,,0.0,0,,
83,2024-04-09,46.58,1,2024-04-19,武器礼包
84,,0.0,0,,
85,,0.0,0,,
86,,0.0,0,,
87,,0.0,0,,
88,2025-01-05,208.3,1,2025-02-05,皮肤礼包
89,,0.0,0,,
90,,0.0,0,,
91,2023-03-22,610.42,9,2023-04-30,体力包
92,,0.0,0,,
93,2023-07-21,1458.89,7,2023-07-27,武器礼包
94,,0.0,0,,
95,,0.0,0,,
96,,0.0,0,,
97,2023-06-21,844.91,4,2023-07-19,月卡
98,,0.0,0,,
99,,0.0,0,,
100,,0.0,0,,
101,,0.0,0,,
102,,0.0,0,,
103,2024-10-25,976.37,4,2024-11-13,月卡
104,,0.0,0,,
105,,0.0,0,,
106,2023-06-12,1596.95,8,2023-07-30,钻石包
107,,0.0,0,,
108,,0.0,0,,
109,2024-02-24,375.21,5,2024-03-15,钻石包
110,,0.0,0,,
111,,0.0,0,,
112,2023-10-25,691.84,7,2023-12-23,体力包
113,,0.0,0,,
114,,0.0,0,,
115,2023-09-17,176.28,1,2023-10-07,体力包
116,,0.0,0,,
117,,0.0,0,,
118,2023-06-12,350.7,3,2023-06-13,武器礼包
119,,0.0,0,,
120,2023-02-10,641.29,3,2023-02-10,武器礼包
121,,0.0,0,,
122,,0.0,0,,
123,2024-03-02,213.51,1,2024-04-06,钻石包
124,2024-08-04,14.17,6,2024-08-04,皮肤礼包
125,,0.0,0,,
126,,0.0,0,,
127,,0.0,0,,
128,,0.0,0,,
129,2024-07-17,523.98,2,2024-08-14,钻石包
130,2024-09-06,286.75,1,2024-09-08,体力包
131,,0.0,0,,
132,,0.0,0,,
133,,0.0,0,,
134,2023-08-13,487.35,3,2023-09-09,月卡
135,2024-05-25,1447.49,5,2024-06-07,月卡
136,,0.0,0,,
137,,0.0,0,,
138,,0.0,0,,
139,,0.0,0,,
140,,0.0,0,,
141,2024-04-24,2066.26,9,2024-05-19,钻石包
142,,0.0,0,,
143,,0.0,0,,
144,,0.0,0,,
145,2024-07-31,406.54,7,2024-09-17,体力包
146,2023-04-18,709.57,3,2023-06-06,钻石包
147,,0.0,0,,
148,,0.0,0,,
149,,0.0,0,,
150,,0.0,0,,
151,,0.0,0,,
152,,0.0,0,,
153,,0.0,0,,
154,2024-06-21,524.41,6,2024-06-29,体力包
155,,0.0,0,,
156,,0.0,0,,
157,,0.0,0,,
158,,0.0,0,,
159,2024-08-15,124.13,1,2024-09-21,月卡
160,,0.0,0,,
161,,0.0,0,,
162,,0.0,0,,
163,2024-10-27,209.32,2,2024-11-03,武器礼包
164,,0.0,0,,
165,,0.0,0,,
166,2024-07-13,652.97,4,2024-08-22,体力包
167,2023-12-06,1412.69,5,2024-01-09,武器礼包
168,,0.0,0,,
169,,0.0,0,,
170,2024-06-09,353.72,7,2024-07-07,月卡
171,,0.0,0,,
172,,0.0,0,,
173,,0.0,0,,
174,,0.0,0,,
175,,0.0,0,,
176,,0.0,0,,
177,,0.0,0,,
178,2023-11-02,367.29,5,2023-11-17,钻石包
179,,0.0,0,,
180,,0.0,0,,
181,2023-09-23,576.11,7,2023-10-30,体力包
182,,0.0,0,,
183,,0.0,0,,
184,,0.0,0,,
185,,0.0,0,,
186,2024-10-20,32.17,3,2024-11-26,月卡
187,,0.0,0,,
188,,0.0,0,,
189,,0.0,0,,
190,,0.0,0,,
191,2024-12-10,908.26,4,2025-01-14,钻石包
192,2024-10-26,928.1,5,2024-12-12,钻石包
193,,0.0,0,,
194,,0.0,0,,
195,,0.0,0,,
196,,0.0,0,,
197,,0.0,0,,
198,,0.0,0,,
199,,0.0,0,,
200,,0.0,0,,
201,2024-04-15,71.23,3,2024-06-10,皮肤礼包
202,2024-08-06,955.16,5,2024-08-20,皮肤礼包
203,,0.0,0,,
204,2024-06-09,448.47,2,2024-06-28,体力包
205,,0.0,0,,
206,,0.0,0,,
207,2023-04-27,181.53,2,2023-05-18,武器礼包
208,,0.0,0,,
209,,0.0,0,,
210,,0.0,0,,
211,2024-12-25,452.95,8,2024-12-26,钻石包
212,,0.0,0,,
